time1	time2	time3	time4	student
    
    1.719664     3.268288     4.322963     5.777605  2
    2.316525     3.859998     4.873387     6.199467  2
    3.483523     3.500392     5.164764     5.450973  2
    0.927086     0.014597     0.998471     2.970025  1
    3.282209     3.409332     4.479050     5.222299  2
    1.987643     2.474049     2.438730     2.349186  2
    0.912668     1.824586     4.628113     5.852390  2
    3.665648     3.444637     3.513181     3.908873  2
    0.083748     0.395302    -0.317153     0.692898  1
    1.288744     4.440645     6.241906     8.260253  2
   -0.179486     1.082498     0.269854     2.617062  1
    3.364625     3.595041     4.840860     5.768228  2
    1.958484     4.674920     6.655382     8.053421  2
    2.580780     2.435865     3.016832     2.773762  2
    5.865448     4.343751     6.516071     6.330943  2
    2.545148     2.475253     4.814206     4.222882  2
    3.128395     3.080096     5.063945     4.861540  2
    0.149591     0.162981     0.951200     2.855707  1
    0.625382     4.252555     4.210368     6.291350  2
    0.402658    -0.244893     1.759203     1.749139  1
    1.500619     0.454874     1.187792     1.561192  2
    2.233143     5.759090     6.074680     9.423514  2
    2.964425     4.505991     6.524219     6.573035  2
    2.823716     6.859716     6.058040     8.526709  2
    3.188139     4.114247     4.235866     5.095934  2
    2.153134     3.571230     4.019340     6.121263  2
    1.231318     2.318249     3.886151     4.910512  2
    3.552257     5.331271     5.664403     6.436807  2
    1.729773     3.376389     5.633705     6.898487  2
    3.180718     3.009901     3.538830     4.693524  2
    2.393362     3.700239     5.982784     8.121091  2
    2.074797     2.377122     3.639996     4.246700  2
    3.924464     4.666458     5.530543     6.552046  2
    0.402934     1.429035     2.023918     2.717682  1
    2.593911     3.191323     5.325619     6.240025  2
    1.600466     2.631255     6.109879     6.451305  2
    3.154465     2.603891     3.021873     4.741909  2
    3.958627     5.027235     5.302044     6.583608  2
    3.332223     5.243756     4.919003     5.353711  2
    2.809030     2.985036     2.688034     3.069439  2
    2.904429     5.947478     8.782485     9.480581  2
    3.025391     3.737582     4.466818     4.542136  2
    2.369186     0.312867     2.514404     0.738128  2
    4.369925     4.796346     6.899005     8.642647  2
    1.021450     2.080551     4.964730     5.100104  1
    0.443160     0.668552     0.882731     1.491884  1
   -0.610862     1.038496     1.673522     3.056926  1
    4.148454     5.692668     3.981547     5.594708  2
    1.054731     1.222443     1.592392     0.408175  1
    1.091118     2.492834     3.145128     6.133126  1
    0.022351     0.541439    -0.195879     0.420006  1
    4.121133     5.164480     5.357633     7.673095  2
    2.843228     3.375785     5.303354     6.032216  2
    2.845206     2.533467     5.343686     4.099214  2
    1.548299     2.380865     3.776659     2.176642  2
    2.799351     4.880904     5.462371     6.956435  2
    2.723388     3.403481     5.017214     6.578730  2
    0.581500     1.805114     3.159281     4.079747  1
    4.268342     4.875582     6.016418     6.938222  2
   -0.273307     0.409223     2.755894     3.148243  1
   -0.119648     1.000226     2.653848     1.759291  1
    2.453430     3.890520     6.235345     5.905927  2
    3.520685     3.704046     4.381758     6.073082  2
    2.903248     2.824657     3.132146     3.627636  2
    1.451671     1.906508     1.805851     2.886568  1
    0.585623     3.201383     2.545786     4.691747  2
    2.758141     4.150316     3.369010     4.257314  2
    2.142014     2.430472     5.777146     8.067931  2
    3.304916     3.830068     4.798387     6.254081  2
    4.241677     4.676768     4.705845     6.803245  2
    0.792367     0.638582     2.034090     1.131503  1
    0.464396     0.271965     3.248552     5.746748  2
    3.754152     4.244928     3.806380     5.966188  2
    1.305617     0.767927     1.489041     3.428963  1
    4.732390     6.195880     6.340357     7.453756  2
    1.574346     3.092666     2.401591     2.214676  1
    1.840126     3.289275     5.044707     4.999287  2
